GISJOIN,YEAR,ZCTA5A,TOT_POP,WHITE,PER_WH,BLACK,PER_BL,AI,NH,AINH,PER_AINH,ASIAN,PER_ASIAN,RACE_O,RACE_2,RACE_O2,PER_R_O,TOT_POP,HISP,PER_HISP,WORK_POP,CAR,PER_CAR,PUBLIC,PER_PUBLIC,TAXI,PER_TAXI,MOTOR,PER_MOTOR,BIKE,PER_BIKE,WALK,PER_WALK,WORK_O,PER_W_O,WORK_HO,PER_W_H,EDU_POP,K12,PER_K12,HS,PER_HS,SOMCOLL,PER_SCOL,BACHELOR,PER_BAC,GRAD_DEG,PER_GRAD,PER_BGRAD,MED_INC,HOUSE_POP,PUB_AS,PER_PA,RENT_POP,RENT_0,PER_RE0,RENT_10,PER_RE10,RENT_20,PER_RE20,RENT_30,PER_RE30,RENT_40,PER_RE40,RENT_50,PER_RE50,TOT_POP,US_CIT,PER_CIT,NON_CIT,PERNCIT,POV_POP,POV,PER_POV,NO_POV,PER_NPOV,TOT_POP,NO_INS,PER_NINS
G10024,2014-2018,10024,59001,49026,0.830935069,2287,0.038762055,173,0,173,0.002932154,4274,0.07243945,1583,1658,3241,0.054931272,59001,6420,0.108811715,33932,2160,0.063656725,23107,0.680979606,1409,0.041524225,49,0.001444065,630,0.018566545,2868,0.084521985,188,0.005540493,3521,0.103766356,47138,2142,0.045441045,2866,0.060800204,4076,0.086469515,16643,0.35306971,21411,0.454219526,0.807289236,131668,28751,1453,0.050537373,17408,2714,0.155905331,3831,0.220071232,3686,0.211741728,1865,0.107134651,1097,0.063017004,3184,0.182904412,59001,53550,0.907611735,5451,0.092388265,58328,4197,0.07195515,54131,0.92804485,58479,2158,0.036902136
G10025,2014-2018,10025,92805,59985,0.646355261,11737,0.126469479,606,14,620,0.006680675,8271,0.089122353,7929,4263,12192,0.131372232,92805,21736,0.234211519,46587,3764,0.080795072,30756,0.660184172,1099,0.023590272,14,0.000300513,801,0.017193638,5249,0.112670917,372,0.00798506,4532,0.097280357,70558,7067,0.100158735,7196,0.101987018,9228,0.13078602,20072,0.284475184,26995,0.382593044,0.667068228,85930,41910,5444,0.129897399,29897,3123,0.104458641,6783,0.226878951,5236,0.175134629,3708,0.124025822,2293,0.076696659,7255,0.242666488,92805,80972,0.872496094,11833,0.127503906,88585,12890,0.145509962,75695,0.854490038,91776,4017,0.043769613
G10026,2014-2018,10026,39363,10410,0.26446155,21023,0.534080228,86,29,115,0.002921525,2308,0.058633742,3703,1804,5507,0.139902955,39363,8389,0.213118919,19310,1239,0.064163646,15275,0.791040911,238,0.01232522,26,0.001346453,210,0.010875194,1206,0.062454687,63,0.003262558,1053,0.054531331,28584,5032,0.176042541,5857,0.204904842,4995,0.174748111,6661,0.233032466,6039,0.21127204,0.444304506,58884,15458,2467,0.159593738,13106,1173,0.089500992,3177,0.242408057,2587,0.197390508,1768,0.134900046,1038,0.079200366,2621,0.19998474,39363,34878,0.886060514,4485,0.113939486,38920,9804,0.251901336,29116,0.748098664,39062,2304,0.058983155
G10027,2014-2018,10027,64548,19706,0.305292186,25484,0.394806965,261,5,266,0.004120964,6163,0.095479333,10188,2741,12929,0.200300552,64548,16427,0.254492781,26789,2649,0.09888387,17512,0.653701146,217,0.00810034,0,0,444,0.016573967,3999,0.149277689,134,0.005002053,1834,0.068460935,41409,6322,0.152672124,8416,0.203240841,6821,0.164722645,9479,0.228911589,10371,0.2504528,0.479364389,46113,23811,3463,0.145436983,20574,1794,0.087197434,3573,0.173665792,3813,0.185331,2922,0.142023914,1268,0.061631185,5531,0.268834451,64548,54635,0.846424366,9913,0.153575634,57826,16555,0.286289904,41271,0.713710096,64417,4727,0.07338125
G10028,2014-2018,10028,47793,41217,0.862406629,604,0.012637834,10,0,10,0.000209236,4607,0.09639487,456,899,1355,0.028351432,47793,3533,0.073922959,30326,2469,0.081415287,18980,0.625865594,1442,0.047549957,12,0.0003957,456,0.015036602,4765,0.157125899,184,0.006067401,2018,0.06654356,39507,737,0.018654922,1879,0.047561192,4025,0.101880679,16512,0.417951249,16354,0.413951958,0.831903207,125140,25318,444,0.01753693,16595,1291,0.077794516,3772,0.227297379,4522,0.272491714,2883,0.173727026,1049,0.063211811,2587,0.155890328,47793,42697,0.893373507,5096,0.106626493,47778,2403,0.050295115,45375,0.949704885,47778,1462,0.030599858
G10029,2014-2018,10029,79597,26896,0.337902182,24699,0.310300639,493,97,590,0.00741234,7534,0.094651808,17413,2465,19878,0.24973303,79597,38122,0.478937648,31643,2308,0.072938723,22127,0.699269981,293,0.009259552,49,0.001548526,365,0.011534937,4994,0.157823215,171,0.005404039,1336,0.042221028,54309,13956,0.256973982,12861,0.236811578,10299,0.189637077,10072,0.185457291,7121,0.131120072,0.316577363,34016,31690,11087,0.349857999,29541,1627,0.055075996,5389,0.182424427,6693,0.226566467,5692,0.192681358,1984,0.067160895,6701,0.226837277,79597,70041,0.879945224,9556,0.120054776,76863,25526,0.332097368,51337,0.667902632,78784,5890,0.074761373
G10030,2014-2018,10030,29882,5038,0.168596479,18842,0.630546817,21,123,144,0.004818955,617,0.020647882,3357,1884,5241,0.175389867,29882,7655,0.256174286,13617,1515,0.111257986,9919,0.728427701,39,0.002864067,31,0.002276566,54,0.003965631,1239,0.090989205,146,0.010721892,674,0.049496952,21781,4841,0.222257931,5175,0.237592397,5155,0.236674166,4026,0.184839998,2584,0.118635508,0.303475506,37232,12736,4433,0.348068467,11265,603,0.053528628,2004,0.177896138,2495,0.221482468,1863,0.165379494,1319,0.117088327,2587,0.229649356,29882,26303,0.8802289,3579,0.1197711,29852,8777,0.294017151,21075,0.705982849,29882,2467,0.082558062
G10031,2014-2018,10031,60254,17917,0.297357852,17982,0.298436618,168,74,242,0.004016331,2380,0.039499452,11580,10153,21733,0.360689747,60254,30955,0.513741826,32650,2612,0.08,25725,0.787901991,210,0.006431853,42,0.001286371,429,0.013139357,1753,0.053690658,54,0.001653905,1825,0.055895865,43469,11040,0.253974096,8875,0.204168488,7941,0.182681911,8937,0.205594792,6676,0.153580713,0.359175504,49891,21959,6163,0.280659411,19225,733,0.038127438,3559,0.185123537,3752,0.195162549,3176,0.16520156,1402,0.072925878,5388,0.280260078,60254,48231,0.80046138,12023,0.19953862,60006,13451,0.224160917,46555,0.775839083,60235,7353,0.122071885
G10032,2014-2018,10032,64264,19122,0.29755384,12373,0.192533923,476,83,559,0.008698494,3029,0.047133698,21939,7242,29181,0.454080045,64264,42594,0.662797212,33329,3538,0.1061538,22367,0.671097243,237,0.007110924,55,0.001650215,727,0.021812836,4433,0.133007291,193,0.005790753,1779,0.053376939,48203,14517,0.301163828,8906,0.184760285,9772,0.202725971,9297,0.192871813,5711,0.118478103,0.311349916,50391,21222,7282,0.343134483,19480,1071,0.054979466,3538,0.181622177,4387,0.225205339,3279,0.168326489,1676,0.086036961,4926,0.252874743,64264,48787,0.759165318,15477,0.240834682,63082,14585,0.231207,48497,0.768793,64050,8568,0.133770492
G10033,2014-2018,10033,59607,24141,0.405002768,6195,0.103930746,887,0,887,0.014880803,1316,0.022077944,21343,5725,27068,0.454107739,59607,40842,0.685187981,29082,4100,0.140980675,19958,0.686266419,165,0.005673613,40,0.001375421,181,0.006223781,3014,0.103637989,193,0.006636407,1431,0.049205694,43303,12287,0.283744775,7576,0.174953236,7718,0.178232455,9416,0.217444519,6306,0.145625014,0.363069533,58614,19652,5953,0.302920822,17598,701,0.039834072,3736,0.212296852,4074,0.23150358,2304,0.130923969,1261,0.07165587,4797,0.272587794,59607,46371,0.777945543,13236,0.222054457,58669,11496,0.195946752,47173,0.804053248,59593,4899,0.082207642
